id,name,category,subcategory,muscle_groups,equipment,difficulty,instructions,safety_notes,body_part,secondary_muscles,is_beginner_safe,requires_spotter,calories_per_minute,target_reps,target_sets,rest_time_seconds,progression_tips,common_mistakes
90,Light Jogging,cardio,low_intensity,general,bodyweight,intermediate,Perform light jogging using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,low_intensity,"core,stabilizers",True,False,12,30-60 seconds,4,36,"Gradually increase intensity, reps, or weight for light jogging","Poor form, rushing through reps, inadequate warm-up"
91,Light Jogging (cable),cardio,low_intensity,general,cable,intermediate,Perform light jogging using cable with proper form and controlled movement.,Warm up before exercising. Use proper form.,low_intensity,"core,stabilizers",False,False,15,30-60 seconds,3,36,"Gradually increase intensity, reps, or weight for light jogging","Poor form, rushing through reps, inadequate warm-up"
92,Light Jogging (resistance_band),cardio,low_intensity,general,resistance_band,intermediate,Perform light jogging using resistance_band with proper form and controlled movement.,Warm up before exercising. Use proper form.,low_intensity,"core,stabilizers",False,False,15,30-60 seconds,2,44,"Gradually increase intensity, reps, or weight for light jogging","Poor form, rushing through reps, inadequate warm-up"
93,Cycling (dumbbell),cardio,low_intensity,general,dumbbell,intermediate,Perform cycling using dumbbell with proper form and controlled movement.,Warm up before exercising. Use proper form.,low_intensity,"core,stabilizers",False,False,13,30-60 seconds,2,41,"Gradually increase intensity, reps, or weight for cycling","Poor form, rushing through reps, inadequate warm-up"
94,Cycling (resistance_band),cardio,low_intensity,general,resistance_band,intermediate,Perform cycling using resistance_band with proper form and controlled movement.,Warm up before exercising. Use proper form.,low_intensity,"core,stabilizers",False,False,13,30-60 seconds,2,58,"Gradually increase intensity, reps, or weight for cycling","Poor form, rushing through reps, inadequate warm-up"
95,Swimming,cardio,low_intensity,general,bodyweight,intermediate,Perform swimming using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,low_intensity,"core,stabilizers",True,False,8,30-60 seconds,3,47,"Gradually increase intensity, reps, or weight for swimming","Poor form, rushing through reps, inadequate warm-up"
96,Swimming (machine),cardio,low_intensity,general,machine,beginner,Perform swimming using machine with proper form and controlled movement.,Warm up before exercising. Use proper form.,low_intensity,"core,stabilizers",True,False,12,30-60 seconds,2,56,"Gradually increase intensity, reps, or weight for swimming","Poor form, rushing through reps, inadequate warm-up"
97,Swimming (resistance_band),cardio,low_intensity,general,resistance_band,intermediate,Perform swimming using resistance_band with proper form and controlled movement.,Warm up before exercising. Use proper form.,low_intensity,"core,stabilizers",False,False,9,30-60 seconds,4,30,"Gradually increase intensity, reps, or weight for swimming","Poor form, rushing through reps, inadequate warm-up"
98,Elliptical,cardio,low_intensity,general,bodyweight,intermediate,Perform elliptical using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,low_intensity,"core,stabilizers",True,False,14,30-60 seconds,3,55,"Gradually increase intensity, reps, or weight for elliptical","Poor form, rushing through reps, inadequate warm-up"
99,Elliptical (kettlebell),cardio,low_intensity,general,kettlebell,intermediate,Perform elliptical using kettlebell with proper form and controlled movement.,Warm up before exercising. Use proper form.,low_intensity,"core,stabilizers",False,False,14,30-60 seconds,4,43,"Gradually increase intensity, reps, or weight for elliptical","Poor form, rushing through reps, inadequate warm-up"
100,Running (resistance_band),cardio,moderate_intensity,general,resistance_band,intermediate,Perform running using resistance_band with proper form and controlled movement.,Warm up before exercising. Use proper form.,moderate_intensity,"core,stabilizers",False,False,13,30-60 seconds,3,31,"Gradually increase intensity, reps, or weight for running","Poor form, rushing through reps, inadequate warm-up"
101,Rowing (kettlebell),cardio,moderate_intensity,general,kettlebell,intermediate,Perform rowing using kettlebell with proper form and controlled movement.,Warm up before exercising. Use proper form.,moderate_intensity,"core,stabilizers",False,False,14,30-60 seconds,3,56,"Gradually increase intensity, reps, or weight for rowing","Poor form, rushing through reps, inadequate warm-up"
102,Dancing,cardio,moderate_intensity,general,bodyweight,intermediate,Perform dancing using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,moderate_intensity,"core,stabilizers",True,False,10,30-60 seconds,3,57,"Gradually increase intensity, reps, or weight for dancing","Poor form, rushing through reps, inadequate warm-up"
103,Dancing (cable),cardio,moderate_intensity,general,cable,intermediate,Perform dancing using cable with proper form and controlled movement.,Warm up before exercising. Use proper form.,moderate_intensity,"core,stabilizers",False,False,11,30-60 seconds,2,44,"Gradually increase intensity, reps, or weight for dancing","Poor form, rushing through reps, inadequate warm-up"
104,Hiking (barbell),cardio,moderate_intensity,general,barbell,advanced,Perform hiking using barbell with proper form and controlled movement.,Warm up before exercising. Use proper form. Consider using a spotter.,moderate_intensity,"core,stabilizers",False,False,11,30-60 seconds,2,41,"Gradually increase intensity, reps, or weight for hiking","Poor form, rushing through reps, inadequate warm-up"
105,Hiking (resistance_band),cardio,moderate_intensity,general,resistance_band,intermediate,Perform hiking using resistance_band with proper form and controlled movement.,Warm up before exercising. Use proper form.,moderate_intensity,"core,stabilizers",False,False,14,30-60 seconds,2,50,"Gradually increase intensity, reps, or weight for hiking","Poor form, rushing through reps, inadequate warm-up"
106,Basketball (dumbbell),cardio,moderate_intensity,general,dumbbell,intermediate,Perform basketball using dumbbell with proper form and controlled movement.,Warm up before exercising. Use proper form.,moderate_intensity,"core,stabilizers",False,False,8,30-60 seconds,2,37,"Gradually increase intensity, reps, or weight for basketball","Poor form, rushing through reps, inadequate warm-up"
107,Basketball (cable),cardio,moderate_intensity,general,cable,intermediate,Perform basketball using cable with proper form and controlled movement.,Warm up before exercising. Use proper form.,moderate_intensity,"core,stabilizers",False,False,11,30-60 seconds,4,60,"Gradually increase intensity, reps, or weight for basketball","Poor form, rushing through reps, inadequate warm-up"
108,Basketball (resistance_band),cardio,moderate_intensity,general,resistance_band,intermediate,Perform basketball using resistance_band with proper form and controlled movement.,Warm up before exercising. Use proper form.,moderate_intensity,"core,stabilizers",False,False,12,30-60 seconds,2,33,"Gradually increase intensity, reps, or weight for basketball","Poor form, rushing through reps, inadequate warm-up"
109,HIIT (dumbbell),cardio,high_intensity,general,dumbbell,intermediate,Perform hiit using dumbbell with proper form and controlled movement.,Warm up before exercising. Use proper form.,high_intensity,"core,stabilizers",False,False,13,30-60 seconds,4,30,"Gradually increase intensity, reps, or weight for hiit","Poor form, rushing through reps, inadequate warm-up"
110,HIIT (barbell),cardio,high_intensity,general,barbell,advanced,Perform hiit using barbell with proper form and controlled movement.,Warm up before exercising. Use proper form. Consider using a spotter.,high_intensity,"core,stabilizers",False,False,12,30-60 seconds,2,48,"Gradually increase intensity, reps, or weight for hiit","Poor form, rushing through reps, inadequate warm-up"
111,Burpees (dumbbell),cardio,high_intensity,general,dumbbell,intermediate,Perform burpees using dumbbell with proper form and controlled movement.,Warm up before exercising. Use proper form.,high_intensity,"core,stabilizers",False,False,9,30-60 seconds,4,47,"Gradually increase intensity, reps, or weight for burpees","Poor form, rushing through reps, inadequate warm-up"
112,Burpees (kettlebell),cardio,high_intensity,general,kettlebell,intermediate,Perform burpees using kettlebell with proper form and controlled movement.,Warm up before exercising. Use proper form.,high_intensity,"core,stabilizers",False,False,13,30-60 seconds,3,30,"Gradually increase intensity, reps, or weight for burpees","Poor form, rushing through reps, inadequate warm-up"
113,Mountain Climbers,cardio,high_intensity,general,bodyweight,intermediate,Perform mountain climbers using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,high_intensity,"core,stabilizers",True,False,10,30-60 seconds,4,36,"Gradually increase intensity, reps, or weight for mountain climbers","Poor form, rushing through reps, inadequate warm-up"
114,Mountain Climbers (machine),cardio,high_intensity,general,machine,beginner,Perform mountain climbers using machine with proper form and controlled movement.,Warm up before exercising. Use proper form.,high_intensity,"core,stabilizers",True,False,14,30-60 seconds,4,37,"Gradually increase intensity, reps, or weight for mountain climbers","Poor form, rushing through reps, inadequate warm-up"
115,Jump Rope (kettlebell),cardio,high_intensity,general,kettlebell,intermediate,Perform jump rope using kettlebell with proper form and controlled movement.,Warm up before exercising. Use proper form.,high_intensity,"core,stabilizers",False,False,9,30-60 seconds,2,31,"Gradually increase intensity, reps, or weight for jump rope","Poor form, rushing through reps, inadequate warm-up"
116,Boxing (dumbbell),cardio,high_intensity,general,dumbbell,intermediate,Perform boxing using dumbbell with proper form and controlled movement.,Warm up before exercising. Use proper form.,high_intensity,"core,stabilizers",False,False,11,30-60 seconds,2,43,"Gradually increase intensity, reps, or weight for boxing","Poor form, rushing through reps, inadequate warm-up"
117,Boxing (barbell),cardio,high_intensity,general,barbell,advanced,Perform boxing using barbell with proper form and controlled movement.,Warm up before exercising. Use proper form. Consider using a spotter.,high_intensity,"core,stabilizers",False,False,14,30-60 seconds,4,43,"Gradually increase intensity, reps, or weight for boxing","Poor form, rushing through reps, inadequate warm-up"
118,Downward Dog,flexibility,yoga,general,bodyweight,intermediate,Perform downward dog using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,yoga,"core,stabilizers",True,False,6,Hold for 30-60 seconds,2,30,"Gradually increase intensity, reps, or weight for downward dog","Poor form, rushing through reps, inadequate warm-up"
119,Downward Dog (barbell),flexibility,yoga,general,barbell,advanced,Perform downward dog using barbell with proper form and controlled movement.,Warm up before exercising. Use proper form. Consider using a spotter.,yoga,"core,stabilizers",False,False,5,Hold for 30-60 seconds,4,48,"Gradually increase intensity, reps, or weight for downward dog","Poor form, rushing through reps, inadequate warm-up"
120,Downward Dog (cable),flexibility,yoga,general,cable,intermediate,Perform downward dog using cable with proper form and controlled movement.,Warm up before exercising. Use proper form.,yoga,"core,stabilizers",False,False,6,Hold for 30-60 seconds,3,30,"Gradually increase intensity, reps, or weight for downward dog","Poor form, rushing through reps, inadequate warm-up"
121,Downward Dog (resistance_band),flexibility,yoga,general,resistance_band,intermediate,Perform downward dog using resistance_band with proper form and controlled movement.,Warm up before exercising. Use proper form.,yoga,"core,stabilizers",False,False,2,Hold for 30-60 seconds,2,49,"Gradually increase intensity, reps, or weight for downward dog","Poor form, rushing through reps, inadequate warm-up"
122,Warrior I (kettlebell),flexibility,yoga,general,kettlebell,intermediate,Perform warrior i using kettlebell with proper form and controlled movement.,Warm up before exercising. Use proper form.,yoga,"core,stabilizers",False,False,2,Hold for 30-60 seconds,3,43,"Gradually increase intensity, reps, or weight for warrior i","Poor form, rushing through reps, inadequate warm-up"
123,Warrior II,flexibility,yoga,general,bodyweight,intermediate,Perform warrior ii using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,yoga,"core,stabilizers",True,False,3,Hold for 30-60 seconds,2,60,"Gradually increase intensity, reps, or weight for warrior ii","Poor form, rushing through reps, inadequate warm-up"
124,Warrior II (dumbbell),flexibility,yoga,general,dumbbell,intermediate,Perform warrior ii using dumbbell with proper form and controlled movement.,Warm up before exercising. Use proper form.,yoga,"core,stabilizers",False,False,3,Hold for 30-60 seconds,2,53,"Gradually increase intensity, reps, or weight for warrior ii","Poor form, rushing through reps, inadequate warm-up"
125,Warrior II (barbell),flexibility,yoga,general,barbell,advanced,Perform warrior ii using barbell with proper form and controlled movement.,Warm up before exercising. Use proper form. Consider using a spotter.,yoga,"core,stabilizers",False,False,4,Hold for 30-60 seconds,3,37,"Gradually increase intensity, reps, or weight for warrior ii","Poor form, rushing through reps, inadequate warm-up"
126,Triangle Pose (dumbbell),flexibility,yoga,general,dumbbell,intermediate,Perform triangle pose using dumbbell with proper form and controlled movement.,Warm up before exercising. Use proper form.,yoga,"core,stabilizers",False,False,6,Hold for 30-60 seconds,2,56,"Gradually increase intensity, reps, or weight for triangle pose","Poor form, rushing through reps, inadequate warm-up"
127,Triangle Pose (kettlebell),flexibility,yoga,general,kettlebell,intermediate,Perform triangle pose using kettlebell with proper form and controlled movement.,Warm up before exercising. Use proper form.,yoga,"core,stabilizers",False,False,5,Hold for 30-60 seconds,4,57,"Gradually increase intensity, reps, or weight for triangle pose","Poor form, rushing through reps, inadequate warm-up"
128,Child's Pose,flexibility,yoga,general,bodyweight,intermediate,Perform child's pose using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,yoga,"core,stabilizers",True,False,2,Hold for 30-60 seconds,3,53,"Gradually increase intensity, reps, or weight for child's pose","Poor form, rushing through reps, inadequate warm-up"
129,Cobra Pose,flexibility,yoga,general,bodyweight,intermediate,Perform cobra pose using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,yoga,"core,stabilizers",True,False,6,Hold for 30-60 seconds,3,53,"Gradually increase intensity, reps, or weight for cobra pose","Poor form, rushing through reps, inadequate warm-up"
130,Cobra Pose (barbell),flexibility,yoga,general,barbell,advanced,Perform cobra pose using barbell with proper form and controlled movement.,Warm up before exercising. Use proper form. Consider using a spotter.,yoga,"core,stabilizers",False,False,6,Hold for 30-60 seconds,4,32,"Gradually increase intensity, reps, or weight for cobra pose","Poor form, rushing through reps, inadequate warm-up"
131,Hamstring Stretch,flexibility,stretching,general,bodyweight,intermediate,Perform hamstring stretch using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,stretching,"core,stabilizers",True,False,3,Hold for 30-60 seconds,4,36,"Gradually increase intensity, reps, or weight for hamstring stretch","Poor form, rushing through reps, inadequate warm-up"
132,Hamstring Stretch (machine),flexibility,stretching,general,machine,beginner,Perform hamstring stretch using machine with proper form and controlled movement.,Warm up before exercising. Use proper form.,stretching,"core,stabilizers",True,False,3,Hold for 30-60 seconds,4,57,"Gradually increase intensity, reps, or weight for hamstring stretch","Poor form, rushing through reps, inadequate warm-up"
133,Hamstring Stretch (cable),flexibility,stretching,general,cable,intermediate,Perform hamstring stretch using cable with proper form and controlled movement.,Warm up before exercising. Use proper form.,stretching,"core,stabilizers",False,False,4,Hold for 30-60 seconds,4,43,"Gradually increase intensity, reps, or weight for hamstring stretch","Poor form, rushing through reps, inadequate warm-up"
134,Quad Stretch (cable),flexibility,stretching,general,cable,intermediate,Perform quad stretch using cable with proper form and controlled movement.,Warm up before exercising. Use proper form.,stretching,"core,stabilizers",False,False,5,Hold for 30-60 seconds,3,32,"Gradually increase intensity, reps, or weight for quad stretch","Poor form, rushing through reps, inadequate warm-up"
135,Calf Stretch (cable),flexibility,stretching,general,cable,intermediate,Perform calf stretch using cable with proper form and controlled movement.,Warm up before exercising. Use proper form.,stretching,"core,stabilizers",False,False,3,Hold for 30-60 seconds,4,34,"Gradually increase intensity, reps, or weight for calf stretch","Poor form, rushing through reps, inadequate warm-up"
136,Hip Flexor Stretch,flexibility,stretching,general,bodyweight,intermediate,Perform hip flexor stretch using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,stretching,"core,stabilizers",True,False,2,Hold for 30-60 seconds,2,32,"Gradually increase intensity, reps, or weight for hip flexor stretch","Poor form, rushing through reps, inadequate warm-up"
137,Hip Flexor Stretch (cable),flexibility,stretching,general,cable,intermediate,Perform hip flexor stretch using cable with proper form and controlled movement.,Warm up before exercising. Use proper form.,stretching,"core,stabilizers",False,False,2,Hold for 30-60 seconds,4,31,"Gradually increase intensity, reps, or weight for hip flexor stretch","Poor form, rushing through reps, inadequate warm-up"
138,Shoulder Stretch (barbell),flexibility,stretching,general,barbell,advanced,Perform shoulder stretch using barbell with proper form and controlled movement.,Warm up before exercising. Use proper form. Consider using a spotter.,stretching,"core,stabilizers",False,False,4,Hold for 30-60 seconds,4,44,"Gradually increase intensity, reps, or weight for shoulder stretch","Poor form, rushing through reps, inadequate warm-up"
139,Arm Circles,flexibility,mobility,general,bodyweight,intermediate,Perform arm circles using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,mobility,"core,stabilizers",True,False,6,Hold for 30-60 seconds,3,30,"Gradually increase intensity, reps, or weight for arm circles","Poor form, rushing through reps, inadequate warm-up"
140,Arm Circles (kettlebell),flexibility,mobility,general,kettlebell,intermediate,Perform arm circles using kettlebell with proper form and controlled movement.,Warm up before exercising. Use proper form.,mobility,"core,stabilizers",False,False,2,Hold for 30-60 seconds,3,34,"Gradually increase intensity, reps, or weight for arm circles","Poor form, rushing through reps, inadequate warm-up"
141,Leg Swings,flexibility,mobility,general,bodyweight,intermediate,Perform leg swings using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,mobility,"core,stabilizers",True,False,2,Hold for 30-60 seconds,2,58,"Gradually increase intensity, reps, or weight for leg swings","Poor form, rushing through reps, inadequate warm-up"
142,Leg Swings (barbell),flexibility,mobility,general,barbell,advanced,Perform leg swings using barbell with proper form and controlled movement.,Warm up before exercising. Use proper form. Consider using a spotter.,mobility,"core,stabilizers",False,False,2,Hold for 30-60 seconds,3,42,"Gradually increase intensity, reps, or weight for leg swings","Poor form, rushing through reps, inadequate warm-up"
143,Leg Swings (kettlebell),flexibility,mobility,general,kettlebell,intermediate,Perform leg swings using kettlebell with proper form and controlled movement.,Warm up before exercising. Use proper form.,mobility,"core,stabilizers",False,False,3,Hold for 30-60 seconds,4,41,"Gradually increase intensity, reps, or weight for leg swings","Poor form, rushing through reps, inadequate warm-up"
144,Neck Rolls,flexibility,mobility,general,bodyweight,intermediate,Perform neck rolls using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,mobility,"core,stabilizers",True,False,3,Hold for 30-60 seconds,2,30,"Gradually increase intensity, reps, or weight for neck rolls","Poor form, rushing through reps, inadequate warm-up"
145,Neck Rolls (barbell),flexibility,mobility,general,barbell,advanced,Perform neck rolls using barbell with proper form and controlled movement.,Warm up before exercising. Use proper form. Consider using a spotter.,mobility,"core,stabilizers",False,False,3,Hold for 30-60 seconds,4,49,"Gradually increase intensity, reps, or weight for neck rolls","Poor form, rushing through reps, inadequate warm-up"
146,Neck Rolls (machine),flexibility,mobility,general,machine,beginner,Perform neck rolls using machine with proper form and controlled movement.,Warm up before exercising. Use proper form.,mobility,"core,stabilizers",True,False,6,Hold for 30-60 seconds,4,50,"Gradually increase intensity, reps, or weight for neck rolls","Poor form, rushing through reps, inadequate warm-up"
147,Ankle Rolls,flexibility,mobility,general,bodyweight,intermediate,Perform ankle rolls using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,mobility,"core,stabilizers",True,False,2,Hold for 30-60 seconds,2,41,"Gradually increase intensity, reps, or weight for ankle rolls","Poor form, rushing through reps, inadequate warm-up"
148,Ankle Rolls (barbell),flexibility,mobility,general,barbell,advanced,Perform ankle rolls using barbell with proper form and controlled movement.,Warm up before exercising. Use proper form. Consider using a spotter.,mobility,"core,stabilizers",False,False,6,Hold for 30-60 seconds,4,52,"Gradually increase intensity, reps, or weight for ankle rolls","Poor form, rushing through reps, inadequate warm-up"
149,Planks,core,stability,general,bodyweight,intermediate,Perform planks using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,stability,"core,stabilizers",True,False,2,Hold for 30-60 seconds,4,35,"Gradually increase intensity, reps, or weight for planks","Poor form, rushing through reps, inadequate warm-up"
150,Planks (resistance_band),core,stability,general,resistance_band,intermediate,Perform planks using resistance_band with proper form and controlled movement.,Warm up before exercising. Use proper form.,stability,"core,stabilizers",False,False,3,Hold for 30-60 seconds,4,52,"Gradually increase intensity, reps, or weight for planks","Poor form, rushing through reps, inadequate warm-up"
151,Side Planks,core,stability,general,bodyweight,intermediate,Perform side planks using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,stability,"core,stabilizers",True,False,6,Hold for 30-60 seconds,2,32,"Gradually increase intensity, reps, or weight for side planks","Poor form, rushing through reps, inadequate warm-up"
152,Dead Bug,core,stability,general,bodyweight,intermediate,Perform dead bug using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,stability,"core,stabilizers",True,False,4,Hold for 30-60 seconds,4,36,"Gradually increase intensity, reps, or weight for dead bug","Poor form, rushing through reps, inadequate warm-up"
153,Bird Dog (dumbbell),core,stability,general,dumbbell,intermediate,Perform bird dog using dumbbell with proper form and controlled movement.,Warm up before exercising. Use proper form.,stability,"core,stabilizers",False,False,5,Hold for 30-60 seconds,3,36,"Gradually increase intensity, reps, or weight for bird dog","Poor form, rushing through reps, inadequate warm-up"
154,Bird Dog (machine),core,stability,general,machine,beginner,Perform bird dog using machine with proper form and controlled movement.,Warm up before exercising. Use proper form.,stability,"core,stabilizers",True,False,6,Hold for 30-60 seconds,3,49,"Gradually increase intensity, reps, or weight for bird dog","Poor form, rushing through reps, inadequate warm-up"
155,Hollow Body Hold (dumbbell),core,stability,general,dumbbell,intermediate,Perform hollow body hold using dumbbell with proper form and controlled movement.,Warm up before exercising. Use proper form.,stability,"core,stabilizers",False,False,3,Hold for 30-60 seconds,3,33,"Gradually increase intensity, reps, or weight for hollow body hold","Poor form, rushing through reps, inadequate warm-up"
156,Hollow Body Hold (barbell),core,stability,general,barbell,advanced,Perform hollow body hold using barbell with proper form and controlled movement.,Warm up before exercising. Use proper form. Consider using a spotter.,stability,"core,stabilizers",False,False,3,Hold for 30-60 seconds,2,53,"Gradually increase intensity, reps, or weight for hollow body hold","Poor form, rushing through reps, inadequate warm-up"
157,Hollow Body Hold (cable),core,stability,general,cable,intermediate,Perform hollow body hold using cable with proper form and controlled movement.,Warm up before exercising. Use proper form.,stability,"core,stabilizers",False,False,3,Hold for 30-60 seconds,2,36,"Gradually increase intensity, reps, or weight for hollow body hold","Poor form, rushing through reps, inadequate warm-up"
158,Hollow Body Hold (resistance_band),core,stability,general,resistance_band,intermediate,Perform hollow body hold using resistance_band with proper form and controlled movement.,Warm up before exercising. Use proper form.,stability,"core,stabilizers",False,False,2,Hold for 30-60 seconds,2,42,"Gradually increase intensity, reps, or weight for hollow body hold","Poor form, rushing through reps, inadequate warm-up"
159,Crunches,core,strength,general,bodyweight,intermediate,Perform crunches using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,strength,"core,stabilizers",True,False,3,Hold for 30-60 seconds,3,49,"Gradually increase intensity, reps, or weight for crunches","Poor form, rushing through reps, inadequate warm-up"
160,Crunches (machine),core,strength,general,machine,beginner,Perform crunches using machine with proper form and controlled movement.,Warm up before exercising. Use proper form.,strength,"core,stabilizers",True,False,6,Hold for 30-60 seconds,3,42,"Gradually increase intensity, reps, or weight for crunches","Poor form, rushing through reps, inadequate warm-up"
161,Crunches (kettlebell),core,strength,general,kettlebell,intermediate,Perform crunches using kettlebell with proper form and controlled movement.,Warm up before exercising. Use proper form.,strength,"core,stabilizers",False,False,5,Hold for 30-60 seconds,3,51,"Gradually increase intensity, reps, or weight for crunches","Poor form, rushing through reps, inadequate warm-up"
162,Bicycle Crunches (machine),core,strength,general,machine,beginner,Perform bicycle crunches using machine with proper form and controlled movement.,Warm up before exercising. Use proper form.,strength,"core,stabilizers",True,False,4,Hold for 30-60 seconds,4,39,"Gradually increase intensity, reps, or weight for bicycle crunches","Poor form, rushing through reps, inadequate warm-up"
163,Russian Twists,core,strength,general,bodyweight,intermediate,Perform russian twists using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,strength,"core,stabilizers",True,False,5,Hold for 30-60 seconds,2,59,"Gradually increase intensity, reps, or weight for russian twists","Poor form, rushing through reps, inadequate warm-up"
164,Russian Twists (kettlebell),core,strength,general,kettlebell,intermediate,Perform russian twists using kettlebell with proper form and controlled movement.,Warm up before exercising. Use proper form.,strength,"core,stabilizers",False,False,2,Hold for 30-60 seconds,2,39,"Gradually increase intensity, reps, or weight for russian twists","Poor form, rushing through reps, inadequate warm-up"
165,V-ups (kettlebell),core,strength,general,kettlebell,intermediate,Perform v-ups using kettlebell with proper form and controlled movement.,Warm up before exercising. Use proper form.,strength,"core,stabilizers",False,False,3,Hold for 30-60 seconds,4,44,"Gradually increase intensity, reps, or weight for v-ups","Poor form, rushing through reps, inadequate warm-up"
166,Leg Raises (barbell),core,strength,general,barbell,advanced,Perform leg raises using barbell with proper form and controlled movement.,Warm up before exercising. Use proper form. Consider using a spotter.,strength,"core,stabilizers",False,False,3,Hold for 30-60 seconds,3,39,"Gradually increase intensity, reps, or weight for leg raises","Poor form, rushing through reps, inadequate warm-up"
167,Leg Raises (machine),core,strength,general,machine,beginner,Perform leg raises using machine with proper form and controlled movement.,Warm up before exercising. Use proper form.,strength,"core,stabilizers",True,False,5,Hold for 30-60 seconds,2,33,"Gradually increase intensity, reps, or weight for leg raises","Poor form, rushing through reps, inadequate warm-up"
168,Mountain Climbers,core,functional,general,bodyweight,intermediate,Perform mountain climbers using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,functional,"core,stabilizers",True,False,5,Hold for 30-60 seconds,4,37,"Gradually increase intensity, reps, or weight for mountain climbers","Poor form, rushing through reps, inadequate warm-up"
169,Mountain Climbers (cable),core,functional,general,cable,intermediate,Perform mountain climbers using cable with proper form and controlled movement.,Warm up before exercising. Use proper form.,functional,"core,stabilizers",False,False,5,Hold for 30-60 seconds,2,52,"Gradually increase intensity, reps, or weight for mountain climbers","Poor form, rushing through reps, inadequate warm-up"
170,Bear Crawl,core,functional,general,bodyweight,intermediate,Perform bear crawl using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,functional,"core,stabilizers",True,False,4,Hold for 30-60 seconds,3,45,"Gradually increase intensity, reps, or weight for bear crawl","Poor form, rushing through reps, inadequate warm-up"
171,Turkish Get-ups (dumbbell),core,functional,general,dumbbell,intermediate,Perform turkish get-ups using dumbbell with proper form and controlled movement.,Warm up before exercising. Use proper form.,functional,"core,stabilizers",False,False,2,Hold for 30-60 seconds,3,36,"Gradually increase intensity, reps, or weight for turkish get-ups","Poor form, rushing through reps, inadequate warm-up"
172,Turkish Get-ups (kettlebell),core,functional,general,kettlebell,intermediate,Perform turkish get-ups using kettlebell with proper form and controlled movement.,Warm up before exercising. Use proper form.,functional,"core,stabilizers",False,False,4,Hold for 30-60 seconds,4,55,"Gradually increase intensity, reps, or weight for turkish get-ups","Poor form, rushing through reps, inadequate warm-up"
173,Wood Chops,core,functional,general,bodyweight,intermediate,Perform wood chops using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,functional,"core,stabilizers",True,False,4,Hold for 30-60 seconds,4,49,"Gradually increase intensity, reps, or weight for wood chops","Poor form, rushing through reps, inadequate warm-up"
174,Wood Chops (kettlebell),core,functional,general,kettlebell,intermediate,Perform wood chops using kettlebell with proper form and controlled movement.,Warm up before exercising. Use proper form.,functional,"core,stabilizers",False,False,3,Hold for 30-60 seconds,4,36,"Gradually increase intensity, reps, or weight for wood chops","Poor form, rushing through reps, inadequate warm-up"
